,100554newsML.txt,100593newsML.txt,100618newsML.txt
abil,0.045132511755360274,0.0,0.0
abl,0.053311976978202655,0.0356734710632727,0.03697889423163088
accept,0.0,0.045936089150303616,0.04761705916116165
achiev,0.0,0.045936089150303616,0.04761705916116165
ad,0.053311976978202655,0.0356734710632727,0.03697889423163088
admit,0.045132511755360274,0.0,0.0
afford,0.045132511755360274,0.0,0.0
agre,0.053311976978202655,0.0356734710632727,0.03697889423163088
ahead,0.026655988489101327,0.0356734710632727,0.03697889423163088
alastair,0.026655988489101327,0.0356734710632727,0.03697889423163088
allow,0.026655988489101327,0.0713469421265454,0.07395778846326176
alreadi,0.045132511755360274,0.0,0.0
although,0.026655988489101327,0.0356734710632727,0.03697889423163088
analyst,0.09026502351072055,0.0,0.0
angri,0.045132511755360274,0.0,0.0
announc,0.07996796546730399,0.17836735531636347,0.14791557692652352
annual,0.045132511755360274,0.0,0.0
approv,0.053311976978202655,0.0356734710632727,0.03697889423163088
around,0.026655988489101327,0.0713469421265454,0.07395778846326176
arrang,0.045132511755360274,0.0,0.0
ask,0.045132511755360274,0.0,0.0
avail,0.045132511755360274,0.0,0.0
avoid,0.045132511755360274,0.0,0.0
back,0.026655988489101327,0.0356734710632727,0.03697889423163088
bank,0.1865919194237093,0.17836735531636347,0.18489447115815438
bankruptci,0.045132511755360274,0.0,0.0
becom,0.045132511755360274,0.0,0.0
benefit,0.0,0.045936089150303616,0.04761705916116165
bill,0.09026502351072055,0.0,0.0
billion,0.13327994244550664,0.35673471063272694,0.22187336538978528
bond,0.045132511755360274,0.0,0.0
brighter,0.026655988489101327,0.0356734710632727,0.03697889423163088
bring,0.026655988489101327,0.0713469421265454,0.07395778846326176
brink,0.026655988489101327,0.0356734710632727,0.03697889423163088
busiest,0.045132511755360274,0.0,0.0
ca,0.045132511755360274,0.0,0.0
call,0.0,0.045936089150303616,0.04761705916116165
cap,0.045132511755360274,0.0,0.0
cash,0.09026502351072055,0.0,0.0
channel,0.026655988489101327,0.0356734710632727,0.03697889423163088
choos,0.026655988489101327,0.0356734710632727,0.03697889423163088
collaps,0.045132511755360274,0.0,0.0
come,0.09026502351072055,0.0,0.0
commerci,0.026655988489101327,0.0356734710632727,0.03697889423163088
